age,qx
0,0.00354
1,0.00035
2,0.00020
3,0.00015
4,0.00013
5,0.00012
6,0.00011
7,0.00010
8,0.00010
9,0.00009
10,0.00012
11,0.00014
12,0.00019
13,0.00026
14,0.00035
15,0.00042
16,0.00052
17,0.00060
18,0.00067
19,0.00072
20,0.00076
21,0.00081
22,0.00084
23,0.00087
24,0.00090
25,0.00093
26,0.00096
27,0.00099
28,0.00102
29,0.00106
30,0.00110
31,0.00116
32,0.00122
33,0.00129
34,0.00138
35,0.00149
36,0.00162
37,0.00177
38,0.00195
39,0.00217
40,0.00243
41,0.00272
42,0.00303
43,0.00337
44,0.00374
45,0.00414
46,0.00459
47,0.00508
48,0.00560
49,0.00617
50,0.00679
51,0.00746
52,0.00820
53,0.00903
54,0.00996
55,0.01100
56,0.01216
57,0.01345
58,0.01488
59,0.01647
60,0.01826
61,0.02024
62,0.02244
63,0.02488
64,0.02758
65,0.03056
66,0.03384
67,0.03746
68,0.04145
69,0.04585
70,0.05071
71,0.05606
72,0.06198
73,0.06854
74,0.07580
75,0.08385
76,0.09277
77,0.10264
78,0.11359
79,0.12575
80,0.13929
81,0.15439
82,0.17125
83,0.19010
84,0.21118
85,0.23478
86,0.25620
87,0.27794
88,0.30238
89,0.32996
90,0.36118
91,0.38731
92,0.41414
93,0.44166
94,0.46985
95,0.49870
96,0.52820
97,0.55831
98,0.58901
99,0.62027
100,0.65206
101,0.68434
102,0.71707
103,0.75020
104,0.78368
105,0.81746
106,0.85148
107,0.88567
108,0.91998
109,0.95432
110,1.00000
